promo_id,retailer_name,sku_id,promo_start_date,promo_end_date,promo_type,promo_depth_pct,baseline_velocity,promo_velocity,promo_lift_pct,incremental_units,cannibalization_rate_pct,promo_roi,trade_spend_dollars
PROMO-2023-0049,Albertsons,SKU-B02,2023-07-22,2023-08-04,Feature+Display,26.61,6.57,12.41,88.77,2365,14.51,0.01,176468.75
PROMO-2023-0058,Walmart,SKU-C02,2023-07-22,2023-08-04,Feature+Display,29.29,2.9,3.25,12.01,1769,1.43,0.18,18388.9
PROMO-2023-0023,Kroger,SKU-A03,2023-07-15,2023-07-28,Display,31.69,6.61,9.52,43.96,3616,4.3,0.13,33947.93
PROMO-2023-0013,Target,SKU-A02,2023-07-08,2023-07-21,Feature,21.48,5.9,7.68,30.1,3887,4.61,0.1,65090.55
PROMO-2023-0034,Walmart,SKU-B01,2023-07-08,2023-07-21,TPR,29.31,8.59,11.2,30.44,18008,11.88,0.09,157703.74
PROMO-2023-0039,Target,SKU-B01,2023-07-08,2023-07-21,Feature+Display,12.19,8.59,10.53,22.64,5579,3.17,0.02,179138.02
PROMO-2023-0067,Kroger,SKU-C02,2023-07-08,2023-07-21,TPR,17.19,2.9,4.56,57.1,2365,4.74,0.04,115848.65
PROMO-2023-0024,Albertsons,SKU-A01,2023-07-01,2023-07-14,Display,29.28,7.24,10.59,46.39,1695,2.79,0.02,130950.71
PROMO-2023-0047,Kroger,SKU-B02,2023-07-01,2023-07-14,Feature,28.85,6.57,7.52,14.31,998,8.93,0.01,130954.01
PROMO-2023-0051,Albertsons,SKU-B03,2023-07-01,2023-07-14,Display,29.4,6.01,7.51,25.04,969,6.81,0,152581.32
PROMO-2023-0040,Target,SKU-B02,2023-06-24,2023-07-07,Display,22.11,6.57,9.41,43.06,4097,14.69,0.11,35237.7
PROMO-2023-0073,Albertsons,SKU-C03,2023-06-24,2023-07-07,TPR,14.99,3.69,4.65,25.98,434,12.88,0.01,160165.55
PROMO-2023-0075,Albertsons,SKU-C02,2023-06-03,2023-06-16,TPR,32.54,2.9,4,37.81,661,0.52,0.03,37899.24
PROMO-2023-0006,Walmart,SKU-A02,2023-05-27,2023-06-09,BOGO,50,5.9,8.88,50.38,15449,12.65,0.17,155830.93
PROMO-2023-0019,Kroger,SKU-A02,2023-05-27,2023-06-09,TPR,30.83,5.9,8.02,35.91,3477,14.16,0.14,43254.16
PROMO-2023-0055,Albertsons,SKU-B03,2023-05-27,2023-06-09,Display,17.88,6.01,7.94,32.16,1245,14.94,0.01,99048.04
PROMO-2023-0057,Walmart,SKU-C02,2023-05-27,2023-06-09,TPR,34.41,2.9,3.41,17.43,2567,10.62,0.04,124859.01
PROMO-2023-0016,Target,SKU-A01,2023-05-20,2023-06-02,Display,24.1,7.24,8.17,12.92,1511,11.25,0.01,174219.55
PROMO-2023-0068,Kroger,SKU-C02,2023-05-20,2023-06-02,TPR,24.26,2.9,4.49,54.79,2270,8.11,0.03,121368.1
PROMO-2023-0001,Walmart,SKU-A02,2023-05-06,2023-05-19,Display,23.66,5.9,8.19,38.64,11851,4.88,0.42,48490.01
PROMO-2023-0071,Kroger,SKU-C01,2023-05-06,2023-05-19,TPR,26.23,4.94,6.06,22.62,1661,6.89,0.2,15396.19
PROMO-2023-0021,Kroger,SKU-A02,2023-04-29,2023-05-12,Feature+Display,23.74,5.9,9.78,65.61,6354,8.19,0.11,103337.33
PROMO-2023-0002,Walmart,SKU-A01,2023-04-22,2023-05-05,Display,15.52,7.24,8.45,16.8,4666,4.71,0.06,127537.63
PROMO-2023-0012,Target,SKU-A02,2023-04-22,2023-05-05,Feature,27.91,5.9,8.81,49.27,6362,2.94,0.08,142984.05
PROMO-2023-0030,Albertsons,SKU-A01,2023-04-15,2023-04-28,Display,22.98,7.24,9.65,33.38,1220,1.64,0.02,109811.19
PROMO-2023-0032,Walmart,SKU-B01,2023-04-08,2023-04-21,BOGO,50,8.59,13.51,57.33,33913,5.12,0.17,152480.81
PROMO-2023-0042,Target,SKU-B02,2023-04-08,2023-04-21,TPR,31.54,6.57,8.34,26.91,2560,3.77,0.03,81277.5
PROMO-2023-0027,Albertsons,SKU-A01,2023-03-11,2023-03-24,TPR,19.38,7.24,10.93,51.07,1866,10.25,0.02,152111.18
PROMO-2023-0010,Target,SKU-A02,2023-03-04,2023-03-17,TPR,12.14,5.9,8.37,41.68,5382,14.34,0.07,132934.68
PROMO-2023-0065,Target,SKU-C01,2023-03-04,2023-03-17,BOGO,50,4.94,7.48,51.45,7556,0.32,0.08,175864.2
PROMO-2023-0003,Walmart,SKU-A01,2023-02-25,2023-03-10,TPR,24.44,7.24,8.6,18.8,5221,5.7,0.09,90823.86
PROMO-2023-0036,Walmart,SKU-B02,2023-02-25,2023-03-10,Display,23.89,6.57,7.8,18.68,4265,7.83,0.02,166589.79
PROMO-2023-0053,Albertsons,SKU-B01,2023-02-25,2023-03-10,Display,19.36,8.59,12.11,41.04,2832,6.14,0.01,175607.11
PROMO-2023-0072,Kroger,SKU-C03,2023-02-25,2023-03-10,TPR,16.97,3.69,5.18,40.27,1594,5.25,0.08,66515.1
PROMO-2023-0028,Albertsons,SKU-A01,2023-02-11,2023-02-24,TPR,27.5,7.24,8.83,22.02,805,9.39,0.01,155243.49
PROMO-2023-0015,Target,SKU-A03,2023-02-04,2023-02-17,Feature,22.56,6.61,7.48,13.14,1441,0.85,0.01,149327.39
PROMO-2023-0018,Kroger,SKU-A01,2023-01-28,2023-02-10,Display,26.71,7.24,9.93,37.17,3260,0.33,0.03,175983.15
PROMO-2023-0043,Target,SKU-B02,2023-01-28,2023-02-10,TPR,32.53,6.57,9.71,47.69,4537,12.15,0.03,121162.16
PROMO-2023-0045,Kroger,SKU-B03,2023-01-14,2023-01-27,TPR,27.28,6.01,7.06,17.53,1777,10.89,0.02,71467.94
PROMO-2023-0060,Walmart,SKU-C02,2023-01-14,2023-01-27,Feature+Display,18.64,2.9,3.7,27.46,4045,9.79,0.06,135727.73
